region,population,family,sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
EUR,IBS,HG01761,HG01761,0.0093,0.0421,-0.0203,-0.0213,0.0037,0.0013,-0.0018,0.0268,-0.0036,-0.005,-0.0051,0.0082,0.0063,-0.019,-0.0181
EUR,IBS,HG01762,HG01762,0.0098,0.0425,-0.0209,-0.0215,0.0043,0.0233,-0.0234,0.0135,0.001,0.0165,-0.0099,0.0,0.0179,-0.0066,0.0026
EUR,IBS,HG01765,HG01765,0.01,0.0409,-0.0185,-0.0191,0.0061,-0.0027,-0.0245,0.0011,-0.0004,-0.0031,-0.0032,0.0193,0.0162,-0.0319,-0.0013
EUR,IBS,HG01766,HG01766,0.0084,0.0408,-0.0194,-0.0235,-0.0003,-0.0223,-0.0206,0.0045,0.0158,0.0027,-0.0133,0.0069,0.0066,-0.0059,-0.0119
EUR,IBS,HG01767,HG01767,0.0085,0.0408,-0.0184,-0.0253,0.0016,-0.0253,-0.018,0.0221,-0.0046,0.0035,-0.0125,-0.0102,-0.0134,-0.0242,0.0001
EUR,IBS,HG01768,HG01768,0.0079,0.0391,-0.0193,-0.0215,0.0039,-0.008,-0.0174,-0.0005,-0.0009,-0.0006,-0.0172,0.0071,0.0039,-0.0104,0.0313
EUR,IBS,HG01770,HG01770,0.0093,0.0398,-0.0185,-0.0237,0.0033,0.0073,0.0066,0.0108,-0.0072,-0.0021,-0.0004,0.0089,0.0002,-0.0104,0.006
EUR,IBS,HG01771,HG01771,0.0108,0.0417,-0.0176,-0.0245,-0.0011,-0.0107,-0.0154,0.0051,0.0157,-0.0039,-0.0164,0.0004,-0.0017,-0.0131,0.0038
EUR,IBS,HG01773,HG01773,0.0093,0.0419,-0.02,-0.0225,-0.0032,-0.0189,-0.0253,0.0063,-0.005,0.0107,-0.0028,0.0056,0.0113,-0.0084,-0.0063
EUR,IBS,HG01775,HG01775,0.01,0.0423,-0.017,-0.0206,0.0038,-0.0033,-0.0062,0.0026,0.0111,0.0091,0.0065,-0.0006,-0.0116,-0.0018,0.0001
